GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.inspect,XmlInspectionService,28,104,3,13,7,27,3,12,1,6
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.inspect,XmlInspectionException,4,9,0,0,2,4,1,2,1,2
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.inspect,XmlSchemaInspector,43,1044,24,96,12,249,25,60,1,23
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.inspect,SimpleTypeRestriction,19,152,4,22,3,35,4,11,0,2
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,XmlCollectionHelper,0,9,0,0,0,3,0,2,0,2
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,XmlFieldTransformer,5,93,2,10,1,23,2,8,0,4
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,AtlasXmlNamespaceContext,38,90,7,5,6,18,7,8,2,7
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,XmlFieldReader,179,709,29,93,31,156,26,46,1,10
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,AtlasXmlConstants,3,0,0,0,1,0,1,0,1,0
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,XmlFieldWriter,322,627,43,99,48,159,45,44,7,11
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,XmlPath.XmlSegmentContext,82,115,8,12,8,23,7,9,1,5
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,XmlPath,49,169,14,20,9,41,12,12,1,6
Unit Test Coverage Report/atlas-xml-core,io.atlasmap.xml.core,XmlIOHelper,12,160,3,23,5,40,3,15,0,5
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlComplexType,288,37,68,0,95,14,39,11,5,11
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlField,356,56,88,0,115,23,46,15,2,15
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlInspectionRequest,279,29,66,0,94,11,39,9,6,9
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlEnumField,164,27,38,0,54,10,23,7,4,7
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,RestrictionType,5,192,1,3,1,22,1,5,0,4
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,InspectionType,31,56,4,0,5,8,4,2,2,2
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlDataSource,116,17,28,0,37,7,16,5,2,5
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlNamespaces,106,14,36,2,21,4,20,3,2,2
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,NodeType,31,56,4,0,5,8,4,2,2,2
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,Restriction,103,17,26,0,34,7,15,5,2,5
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlFields,106,14,36,2,21,4,20,3,2,2
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlNamespace,183,31,46,0,60,13,25,9,2,9
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlEnumFields,106,14,36,2,21,4,20,3,2,2
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,Restrictions,106,14,36,2,21,4,20,3,2,2
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlInspectionResponse,147,20,36,0,49,8,21,6,3,6
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,XmlDocument,76,10,18,0,24,4,11,3,2,3
Unit Test Coverage Report/atlas-xml-model,io.atlasmap.xml.v2,AtlasXmlModelFactory,10,117,2,6,2,31,3,8,1,6
Unit Test Coverage Report/atlas-xml-module,io.atlasmap.xml.module,XmlValidationService,13,176,5,17,3,37,6,13,1,7
Unit Test Coverage Report/atlas-xml-module,io.atlasmap.xml.module,XmlModule,262,627,38,70,46,147,33,41,1,19
Unit Test Coverage Report/atlas-xml-service,io.atlasmap.xml.service,XmlService,43,71,3,2,12,17,4,6,1,6
Unit Test Coverage Report/atlas-csv-core,io.atlasmap.csv.core,CsvFieldReader,150,333,21,23,34,84,14,13,0,5
Unit Test Coverage Report/atlas-csv-core,io.atlasmap.csv.core,CsvFieldWriter,6,373,0,46,2,88,0,28,0,5
Unit Test Coverage Report/atlas-csv-core,io.atlasmap.csv.core,CsvConfig,237,244,50,26,41,56,52,26,14,20
Unit Test Coverage Report/atlas-csv-model,io.atlasmap.csv.v2,CsvField,0,24,0,0,0,8,0,4,0,4
Unit Test Coverage Report/atlas-csv-model,io.atlasmap.csv.v2,CsvFields,106,14,36,2,21,4,20,3,2,2
Unit Test Coverage Report/atlas-csv-model,io.atlasmap.csv.v2,CsvDataSource,80,6,18,0,26,2,12,2,3,2
Unit Test Coverage Report/atlas-csv-model,io.atlasmap.csv.v2,CsvComplexType,124,13,28,0,40,5,18,4,4,4
Unit Test Coverage Report/atlas-csv-model,io.atlasmap.csv.v2,CsvInspectionResponse,4,20,0,0,2,8,1,6,1,6
Unit Test Coverage Report/atlas-csv-module,io.atlasmap.csv.module,CsvModule,115,156,14,14,17,42,15,11,2,10
Unit Test Coverage Report/atlas-csv-module,io.atlasmap.csv.module,CsvValidationService,26,0,2,0,7,0,6,0,5,0
Unit Test Coverage Report/atlas-csv-service,io.atlasmap.csv.service,CsvService,52,99,5,7,11,30,6,5,1,4
Unit Test Coverage Report/atlas-dfdl-core,io.atlasmap.dfdl.core.schema,CsvDfdlSchemaGenerator.NamespaceResolver,57,35,8,0,11,7,6,2,2,2
Unit Test Coverage Report/atlas-dfdl-core,io.atlasmap.dfdl.core.schema,CsvDfdlSchemaGenerator,47,165,6,14,5,32,9,8,3,4
Unit Test Coverage Report/atlas-dfdl-core,io.atlasmap.dfdl.core.schema,CsvDfdlSchemaGenerator.Options,0,48,0,0,0,8,0,3,0,3
Unit Test Coverage Report/atlas-dfdl-core,io.atlasmap.dfdl.inspect,DfdlInspectionService,0,27,0,0,0,7,0,3,0,3
Unit Test Coverage Report/atlas-dfdl-core,io.atlasmap.dfdl.inspect,DfdlInspector,29,115,3,3,7,27,4,5,1,5
Unit Test Coverage Report/atlas-dfdl-core,io.atlasmap.dfdl.core,DfdlSchemaResolver,21,87,3,5,3,23,3,3,0,2
Unit Test Coverage Report/atlas-dfdl-core,io.atlasmap.dfdl.core,DfdlConstants,3,0,0,0,1,0,1,0,1,0
Unit Test Coverage Report/atlas-dfdl-model,io.atlasmap.dfdl.v2,AtlasDfdlModelFactory,3,0,0,0,1,0,1,0,1,0
Unit Test Coverage Report/atlas-dfdl-model,io.atlasmap.dfdl.v2,DfdlInspectionRequest,96,18,24,0,34,6,15,4,3,4
Unit Test Coverage Report/atlas-dfdl-model,io.atlasmap.dfdl.v2,DfdlInspectionResponse,0,3,0,0,0,1,0,1,0,1
Unit Test Coverage Report/atlas-dfdl-module,io.atlasmap.dfdl.module,DfdlModule,110,142,8,8,22,32,9,7,2,6
Unit Test Coverage Report/atlas-dfdl-module,io.atlasmap.dfdl.module,DfdlValidationService,0,14,0,0,0,4,0,2,0,2
Unit Test Coverage Report/atlas-dfdl-service,io.atlasmap.dfdl.service,DfdlService,57,71,3,4,13,18,6,5,3,4
Unit Test Coverage Report/atlas-kafka-connect-core,io.atlasmap.kafkaconnect.core,KafkaConnectFieldWriter,45,335,8,38,11,73,8,24,0,8
Unit Test Coverage Report/atlas-kafka-connect-core,io.atlasmap.kafkaconnect.core,KafkaConnectFieldReader,29,719,6,58,6,161,7,35,1,9
Unit Test Coverage Report/atlas-kafka-connect-core,io.atlasmap.kafkaconnect.core,KafkaConnectUtil,20,92,10,11,7,23,11,10,1,4
Unit Test Coverage Report/atlas-kafka-connect-core,io.atlasmap.kafkaconnect.inspect,KafkaConnectInspectionService,0,27,0,0,0,7,0,3,0,3
Unit Test Coverage Report/atlas-kafka-connect-core,io.atlasmap.kafkaconnect.inspect,KafkaConnectInspector,58,271,6,22,13,74,4,17,0,7
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectConstants,3,3,0,0,1,1,1,1,1,1
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectDocument,37,22,8,0,12,8,7,6,3,6
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectInspectionRequest,292,18,66,0,100,6,44,4,11,4
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectSchemaType,3,45,0,0,1,7,1,2,1,2
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectField,156,17,38,0,50,7,21,5,2,5
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectInspectionResponse,4,20,0,0,2,8,1,6,1,6
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectEnumFields,106,14,36,2,21,4,20,3,2,2
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,AtlasKafkaConnectModelFactory,33,113,2,6,7,29,4,8,2,6
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectEnumField,88,12,18,0,30,4,14,4,5,4
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectComplexType,120,27,28,0,39,11,17,8,3,8
Unit Test Coverage Report/atlas-kafka-connect-model,io.atlasmap.kafkaconnect.v2,KafkaConnectFields,106,14,36,2,21,4,20,3,2,2
Unit Test Coverage Report/atlas-kafka-connect-module,io.atlasmap.kafkaconnect.module,KafkaConnectValidationService,87,0,4,0,19,0,9,0,7,0
Unit Test Coverage Report/atlas-kafka-connect-module,io.atlasmap.kafkaconnect.module,KafkaConnectModule,662,26,71,6,140,5,48,6,12,3
Unit Test Coverage Report/atlas-kafka-connect-service,io.atlasmap.kafkaconnect.service,KafkaConnectService,59,71,3,2,14,18,6,4,3,4
Unit Test Coverage Report/atlasmap-maven-plugin,io.atlasmap.maven,GenerateInspectionsMojo.InspectionType,24,0,0,0,3,0,1,0,1,0
Unit Test Coverage Report/atlasmap-maven-plugin,io.atlasmap.maven,GenerateInspectionsMojo.Inspection,52,0,0,0,22,0,15,0,15,0
Unit Test Coverage Report/atlasmap-maven-plugin,io.atlasmap.maven,GenerateFieldActionsMojo,251,0,34,0,57,0,26,0,9,0
Unit Test Coverage Report/atlasmap-maven-plugin,io.atlasmap.maven,GenerateFieldActionsMojo.FieldAction,23,0,0,0,8,0,6,0,6,0
Unit Test Coverage Report/atlasmap-maven-plugin,io.atlasmap.maven,HelpMojo,763,0,108,0,153,0,70,0,16,0
Unit Test Coverage Report/atlasmap-maven-plugin,io.atlasmap.maven,AbstractAtlasMapMojo,208,0,10,0,58,0,18,0,13,0
Unit Test Coverage Report/atlasmap-maven-plugin,io.atlasmap.maven,GenerateInspectionsMojo,541,0,52,0,117,0,40,0,14,0
Unit Test Coverage Report/camel-atlasmap,org.apache.camel.component.atlasmap,AtlasEndpoint.TargetMapMode,0,34,0,0,0,4,0,1,0,1
Unit Test Coverage Report/camel-atlasmap,org.apache.camel.component.atlasmap,CamelAtlasPropertyStrategy,0,116,2,12,0,30,2,12,0,7
Unit Test Coverage Report/camel-atlasmap,org.apache.camel.component.atlasmap,AtlasComponent,49,96,2,6,15,23,5,7,3,5
Unit Test Coverage Report/camel-atlasmap,org.apache.camel.component.atlasmap,AtlasEndpoint,216,588,21,72,48,145,32,47,12,19
Unit Test Coverage Report/atlasmap-kafka-smt,io.atlasmap.kafka.smt,AtlasMapSMT,46,152,12,8,13,30,10,6,0,6
Unit Test Coverage Report/atlasmap-standalone,io.atlasmap.standalone,SecurityConfiguration,9,19,3,1,1,5,2,2,0,2
Unit Test Coverage Report/atlasmap-standalone,io.atlasmap.standalone,Application,29,7,0,0,6,2,1,2,1,2
Unit Test Coverage Report/atlasmap-standalone,io.atlasmap.standalone,WebSocketConfiguration,0,13,0,0,0,3,0,3,0,3
Unit Test Coverage Report/atlasmap-standalone,io.atlasmap.standalone,RoutingConfiguration,0,12,0,0,0,4,0,2,0,2
Unit Test Coverage Report/atlasmap-standalone,io.atlasmap.standalone,JaxrsApplication,0,31,0,0,0,8,0,8,0,8
Unit Test Coverage Report/atlasmap-standalone,io.atlasmap.standalone,AtlasMapXsrfRepository,0,70,3,5,0,13,3,8,0,7
Unit Test Coverage Report/atlasmap-standalone,io.atlasmap.standalone,CorsConfiguration,0,67,0,0,0,11,0,5,0,5
